Hostname,IP
fe02.ossmosis.evolveip.net,10.160.1.130
ftp-web01.cr.voip.evolveip.net,10.128.1.38
geb-sftp01.evolveip.net,10.160.0.215
geneq-recorder01.cr.voip.evolveip.net,10.128.3.79
geneq-web01.cr.voip.evolveip.net,10.160.3.79
highdeal-IEC,192.168.2.31
highdeal-TRX,192.168.2.30
highdeal-dev-iec.dev.evolveip.net,192.168.2.81
highdeal-dev-trx.dev.evolveip.net,192.168.2.82
hop-monet01.evolveip.net,10.160.0.99
hth-recorder01.cr.voip.evolveip.net,10.128.1.60
ibuilding-lamp01.gpx,192.168.0.60
iperf01.evolveip.net,208.89.20.245
iperf02.evolveip.net,199.66.103.22
is-dev01,10.160.0.34
jira-01.evolveip.net,10.64.10.94
jira02.evolveip.net,10.64.10.194
kamikaze,10.160.0.50
kepro-recorder01.cr.voip.evolveip.net,10.128.1.63
kepro-recorder02.cr.voip.evolveip.net,10.128.1.62
kepro-web01.cr.voip.evolveip.net,10.160.1.63
linux-dev01,10.32.33.230
linux-dev04.evolveip.net,10.32.68.234
log-collector01.evolveip.net,10.32.16.120
ma-agg02.core,162.213.112.83
ma-agg03.core,162.213.112.84
ma-agg05.core,199.116.133.42
ma-agg06.core,74.117.224.2
ma-lv-agg01.core,162.213.115.20
ma-lv-agg02.core,162.213.115.21
mail01.voip,10.128.0.200
mail03.voip,10.128.3.10
metadata.evolveip.net,10.160.0.86
monarch-recovery-ftp01.evolveip.net,74.117.224.90
mosgraphinator-01.evolveip.net,10.32.32.71
mro-app,192.168.2.37
mro-db,192.168.2.38
mro-ftp01.evolveip.net,10.160.1.239
mrtg.evolveip.net,10.32.32.14
ms1.lab,10.128.4.23
ms1.voip,10.128.0.107
ms11.lab,10.128.4.33
ms11.voip,10.128.0.57
ms12.voip,10.128.2.57
ms14.voip,10.128.10.57
ms2.voip,10.128.2.107
ms3.voip,10.128.8.107
ms4.voip,10.128.10.107
ms5.voip.evolveip.net,10.128.0.87
ms6.voip.evolveip.net,10.128.2.87
ms7.voip.evolveip.net,10.128.0.97
ms8.voip.evolveip.net,10.128.2.97
mwi01.voip.evolveip.net,10.128.0.139
mysql01.boss.evolveip.net,192.168.2.60
mysql02.boss.evolveip.net,10.160.0.82
mysql03.boss.evolveip.net,10.160.0.87
nable01.evolveip.net,10.160.0.44
nagios-daas01.evolveip.net,10.32.33.50
nagios-fs,10.32.32.42
